"shop_id","name","alias","province","city","city_pinyin","city_id","area","big_cate","big_cate_id","small_cate","small_cate_id","address","business_area","phone","hours","avg_price","stars","photos","description","tags","map_type","original_latitude","original_longitude","google_longitude","google_latitude","navigation","traffic","atmosphere","characteristics","payment","product_rating","environment_rating","service_rating","all_remarks","very_good_remarks","good_remarks","common_remarks","bad_remarks","very_bad_remarks","recommended_dishes","nearby_shops","is_chains","group_info","card_info"
"10001152","林师傅","","广东","广州","guangzhou","4","荔湾区","美食","10","简餐快餐","g210","周门南路12号","中山七八路","020-81721896","","12","3.0","http://i3.dpfile.com/pc/96671369da2a8a4c3b7a7289c50a5221/29270543_m.jpg","","牛杂,中山七八路,是老字号,可送外卖,供应早餐","7","23.13054","113.23957","113.23957","23.13054","广州餐厅>>荔湾区>>中山七八路>>简餐快餐>>林师傅","","","","","6.8","6.5","6.4","23","2","6","9","1","1","牛三星","","0","",""
"10003820","糖朵甜品工坊","","浙江","杭州","hangzhou","3","西湖区","美食","10","面包甜点","g117","竞舟路213号紫桂花园底商20-11号(近求是小学)","古墩路沿线","13758255953,13857166608","10:00---21:00","27","2.0","http://i1.dpfile.com/pc/6bfa1bf9a5e683df6d0486866c5a3a39/34688328_m.jpg","","甜品饮品,古墩路沿线,无线上网,有下午茶,可送外卖,有露天位","7","30.28417","120.1036","120.1036","30.28417","杭州餐厅>>西湖区>>古墩路沿线>>面包甜点>>甜品饮品>>糖朵甜品工坊","","","","","5.4","5.8","5.9","10","0","1","2","1","0","杨枝甘露,双皮奶,黑糯米甜甜,多芳小丸子,多芒小丸子,白雪黑珍珠,雪山黑珍珠,芒果班戟,小丸子","","0","￥16 - 价值20元！ 糖朵甜品工坊代金券",""
"10003856","江南食代自助餐厅","","福建","福州","fuzhou","14","台江区","美食","10","自助餐","g111","工业路193号宝龙城市广场4楼(近万象城)","宝龙万象","0591-83899889","11:30-21:00","58","3.0","http://i2.dpfile.com/pc/b0eb31105d69be7781271fd039f612fd/37717822_m.jpg","","自助餐,烧烤,宝龙万象","7","26.06247","119.2917","119.2917","26.06247","福州餐厅>>台江区>>宝龙万象>>自助餐>>江南食代自助餐厅","","","","","6.5","6.5","6.4","44","2","2","0","0","0","芋头,鱼豆腐","","0","￥58.8 - 价值69元！ 江南食代自助餐厅单人自助晚餐1位;￥48.8 - 价值59元！ 江南食代自助餐厅单人自助午餐",""
"10003906","漓江又一轩(南山旗舰店)","","广东","深圳","shenzhen","7","南山区","美食","10","其他","g118","南山大道2009号(南航公司正对面)","南油","0755-86034303","11:00-22:00","71","4.0","http://i2.dpfile.com/pc/d710667da078a8e33c4853dd94f5af4e/29099413_m.jpg","看店名就知道做的是“广西菜”。菜“没有以前实惠”了，但干锅系列仍然“受欢迎”，特别是鸡煲，“色香味”俱全，辣辣得“很过瘾”，分量也“足""，人不多的话“点一份完全可以吃饱”了。环境装点得很有“农家”风味，青砖灰瓦结合木梁竹壁，倒也“乡趣盎然”。","其他中餐,南油,无线上网,休闲小憩,是老字号,可送外卖","7","22.52497","113.9234","113.9234","22.52497","深圳餐厅>>南山区>>南油>>其他>>其他中餐>>漓江又一轩(南山旗舰店)","","","","","7.9","8.3","7.9","74","19","15","16","4","6","鸭嘴鱼,凉拌木耳,田螺鸡,猪展汤,爽口萝卜皮,盐焗虾","","1","",""
"10003936","MAAN COFFEE(1912店)","漫咖啡","江苏","南京","nanjing","5","玄武区","美食","10","其他","g118","1912街区9号楼(近长江后街)","珠江路沿线","025-85607288","09:30--02:00","55","4.5","http://i2.dpfile.com/pc/9810c303e7790665d8969b65266ee0c4/33719551_m.jpg","","咖啡厅,珠江路沿线,无线上网,可以刷卡,休闲小憩,情侣约会,有露天位,朋友聚餐,有下午茶,随便吃吃,家庭聚会,有无烟区","7","32.04619","118.79608","118.79608","32.04619","南京餐厅>>玄武区>>珠江路沿线>>其他>>咖啡厅>>MAAN COFFEE(1912店)","","","下午茶","","8.6","9.1","8.4","251","76","102","25","7","10","原味松饼,韩式烤牛肉汉堡,芝士松饼,白巧克力拿铁,水果冰淇淋松饼,火腿三明治套餐,榛果焦糖拿铁,拿铁,蓝柠汽水,巧克力松饼,抹茶红豆冰沙,绿茶松饼,紫薯拿铁,蔓越莓摩卡,BLT火腿三明治,棉花糖巧克力,焦糖肉桂面包,帕尼尼,白提拉米苏拿铁,棉花糖热巧克力,巧克力薄荷拿铁,草莓松饼,冰芒果橙汁,焦糖肉桂,草莓面包","","1","",""
"10003996","冰月啡","","广东","广州","guangzhou","4","番禺区","美食","10","面包甜点","g117","大学城北一路GOGO新天地3楼","大学城","","","10","0.0","http://i3.dpfile.com/pc/63d94f988dbff031f3646277c0f99102/31037234_m.jpg","","雪糕饮品,大学城","7","23.0608","113.39215","113.39215","23.0608","广州餐厅>>番禺区>>大学城>>面包甜点>>雪糕饮品>>冰月啡","","","","","","","","8","5","3","0","0","0","芋圆,绿茶绵绵冰,道地芋圆","","0","",""
"10004036","川崎火锅","","江苏","南京","nanjing","5","秦淮区","美食","10","火锅","g110","延龄巷26号(近刘氏鸭血粉丝)","新街口地区","15905152888","晚餐是下午五点开始","44","3.5","http://i1.dpfile.com/pc/784a1afad3dfb48cd666c3169a7fbe3d/39978057_m.jpg","","火锅,新街口地区","7","32.037","118.79162","118.79162","32.037","南京餐厅>>秦淮区>>新街口地区>>火锅>>川崎火锅","","","","","7.3","7.3","7.7","25","9","5","3","2","2","十三香螃蟹,铁板水晶粉丝,麻婆豆腐","","0","￥68 - 价值138元！ 川崎火锅经典双人火锅餐",""
"10004038","阿姨奶茶专卖(五角场国济路店)","","上海","上海","shanghai","1","杨浦区","美食","10","面包甜点","g117","国济路28-1号(近政通路)","五角场/大学区","18301885507,18301885517","11.00--23.00","7","3.5","http://i3.dpfile.com/pc/d22ac1b9d6bde9100f6352c4b0e7edc7/33657749_m.jpg","","饮品,五角场/大学区,可送外卖,随便吃吃","7","31.30216","121.51602","121.51602","31.30216","上海餐厅>>杨浦区>>五角场/大学区>>面包甜点>>饮品>>阿姨奶茶专卖(五角场国济路店)","","","外送","","7.0","7.1","7.2","155","14","30","53","28","18","血糯米奶茶,布丁奶茶,芋圆奶茶,血糯米芋圆奶茶,门面","","1","",""
"10004100","盛祥记面馆","","江苏","南京","nanjing","5","玄武区","美食","10","小吃快餐","g112","红庙路(红庙水果店对面)","珠江路沿线","13813991088","8：00—21:00","15","0.0","http://i1.dpfile.com/pc/cc8055721edd715e35ea880f0e842e5b/28070631_m.jpg","","面馆,珠江路沿线","7","32.04767","118.78985","118.78985","32.04767","南京餐厅>>玄武区>>珠江路沿线>>小吃快餐>>面馆>>盛祥记面馆","","","","","","","","8","0","0","1","0","0","三鲜面","","0","",""
"10004110","LOW CARBS冰淇淋","","北京","北京","beijing","2","西城区","美食","10","面包甜点","g117","西单北大街131号西单大悦城9楼","西单","13488898999","10：00-22：00","20","3.0","http://i1.dpfile.com/pc/110487c686dac67b4cee319ad52345f9/29654685_m.jpg","","面包甜点,西单,有下午茶","7","39.91069","116.3737","116.3737","39.91069","北京餐厅>>西城区>>西单>>面包甜点>>LOW CARBS冰淇淋","","","","","5.9","6.4","7.0","22","1","5","3","4","6","暴风雪,迷偶串串,双色冰淇淋,草莓奶油堡","","0","",""
